學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
1	0001	國立政治大學	140101	教育學系	D 日	D 博士	100	0	8	30 臺北市	1 一般
2	0001	國立政治大學	140101	教育學系	D 日	M 碩士	48	0	13	30 臺北市	1 一般
3	0001	國立政治大學	140101	教育學系	D 日	B 學士	258	17	47	30 臺北市	1 一般
4	0001	國立政治大學	140203	華語(文)教學學系	D 日	D 博士	15	0	1	30 臺北市	1 一般
5	0001	國立政治大學	140203	華語(文)教學學系	D 日	M 碩士	48	0	14	30 臺北市	1 一般
6	0001	國立政治大學	140218	國文教學碩士	N 職	M 碩士	0	0	14	30 臺北市	1 一般
7	0001	國立政治大學	140401	幼兒教育學系	D 日	M 碩士	41	3	14	30 臺北市	1 一般
8	0001	國立政治大學	140701	教育行政與政策學系	D 日	M 碩士	52	1	8	30 臺北市	1 一般
9	0001	國立政治大學	140709	學校行政碩士	N 職	M 碩士	82	0	19	30 臺北市	1 一般
10	0001	國立政治大學	149907	教育學院	D 日		0	3	0	30 臺北市	1 一般
11	0001	國立政治大學	220101	臺灣文學系	D 日	D 博士	11	0	1	30 臺北市	1 一般
12	0001	國立政治大學	220101	臺灣文學系	D 日	M 碩士	33	7	8	30 臺北市	1 一般
13	0001	國立政治大學	220201	(中)國(語)文學系	D 日	D 博士	65	0	11	30 臺北市	1 一般
14	0001	國立政治大學	220201	(中)國(語)文學系	D 日	M 碩士	87	0	29	30 臺北市	1 一般
15	0001	國立政治大學	220201	(中)國(語)文學系	D 日	B 學士	372	29	75	30 臺北市	1 一般
16	0001	國立政治大學	220201	(中)國(語)文學系	N 職	M 碩士	68	0	0	30 臺北市	1 一般
17	0001	國立政治大學	220307	英國語文學系	D 日	D 博士	23	0	1	30 臺北市	1 一般
18	0001	國立政治大學	220307	英國語文學系	D 日	M 碩士	62	0	9	30 臺北市	1 一般
19	0001	國立政治大學	220307	英國語文學系	D 日	B 學士	309	24	66	30 臺北市	1 一般
20	0001	國立政治大學	220307	英國語文學系	N 職	M 碩士	30	0	11	30 臺北市	1 一般
21	0001	國立政治大學	220320	日本語文學系	D 日	M 碩士	25	0	3	30 臺北市	1 一般
22	0001	國立政治大學	220320	日本語文學系	D 日	B 學士	180	12	40	30 臺北市	1 一般
23	0001	國立政治大學	220322	阿拉伯語文學系	D 日	B 學士	174	7	33	30 臺北市	1 一般
24	0001	國立政治大學	220324	韓國語文學系	D 日	M 碩士	19	0	3	30 臺北市	1 一般
25	0001	國立政治大學	220324	韓國語文學系	D 日	B 學士	161	8	37	30 臺北市	1 一般
26	0001	國立政治大學	220326	土耳其語文學系	D 日	B 學士	128	6	26	30 臺北市	1 一般
27	0001	國立政治大學	220327	歐洲語文學系	D 日	B 學士	314	8	59	30 臺北市	1 一般
28	0001	國立政治大學	220327	歐洲語文學系	N 職	M 碩士	1	0	3	30 臺北市	1 一般
29	0001	國立政治大學	220333	斯拉夫語文學系	D 日	M 碩士	8	0	6	30 臺北市	1 一般
30	0001	國立政治大學	220333	斯拉夫語文學系	D 日	B 學士	248	18	37	30 臺北市	1 一般
31	0001	國立政治大學	220701	語言學研究所	D 日	D 博士	8	0	0	30 臺北市	1 一般
32	0001	國立政治大學	220701	語言學研究所	D 日	M 碩士	27	5	9	30 臺北市	1 一般
33	0001	國立政治大學	220801	宗教學系	D 日	D 博士	34	0	1	30 臺北市	1 一般
34	0001	國立政治大學	220801	宗教學系	D 日	M 碩士	38	6	0	30 臺北市	1 一般
35	0001	國立政治大學	220901	(歷)史學系	D 日	D 博士	36	0	2	30 臺北市	1 一般
36	0001	國立政治大學	220901	(歷)史學系	D 日	M 碩士	58	0	12	30 臺北市	1 一般
37	0001	國立政治大學	220901	(歷)史學系	D 日	B 學士	189	18	46	30 臺北市	1 一般
38	0001	國立政治大學	220903	臺灣(歷)史研究所	D 日	D 博士	23	0	2	30 臺北市	1 一般
39	0001	國立政治大學	220903	臺灣(歷)史研究所	D 日	M 碩士	52	8	3	30 臺北市	1 一般
40	0001	國立政治大學	221101	哲學系	D 日	D 博士	34	0	1	30 臺北市	1 一般
41	0001	國立政治大學	221101	哲學系	D 日	M 碩士	40	0	9	30 臺北市	1 一般
42	0001	國立政治大學	221101	哲學系	D 日	B 學士	194	14	36	30 臺北市	1 一般
43	0001	國立政治大學	229918	中東與中亞研究學位學程	D 日	M 碩士	8	0	0	30 臺北市	1 一般
44	0001	國立政治大學	310101	經濟學系	D 日	D 博士	17	0	3	30 臺北市	1 一般
45	0001	國立政治大學	310101	經濟學系	D 日	M 碩士	85	0	32	30 臺北市	1 一般
